000 COC(=O)O
033 CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3
034 CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(cc3)c4ccc5c(c4)cc([nH]5)C(=O)O
035 C(CC[C@@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O
036 C(CC[C@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O
037 C1C[C@H]2CN[C@@H]([C@H]2C1)C(=O)O
038 CC(C)C[C@@H](C(=O)NC[C@](CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c3[nH]nnn3)N
039 COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4
03A CCCC(C(=O)C(=O)NC1CC1)N
03B Cc1c(c(c(n1C)c2ccc(cc2)Cl)c3cccc(c3)N4CCN(CC4)c5ccc(cc5)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])N[C@H](CCN(C)C)CSc7ccccc7)C(=O)O
03C Cc1ccccc1n2c(c(cn2)C(=O)c3cccc(c3)C4CCN(CC4)S(=O)(=O)C)N
03D CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2CC2)C[C@@H]([C@H](Cc3ccccc3)O)O)O)O
03E C1CCCC(CC1)(C(=O)O)N
03F CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)NC(=O)CCCCCCC/C=C\CCCCCCCC)O
03G CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C
03H CC(C)C[C@@H](C(=O)O)Cl
03I C[C@@](CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C
03J c1ccc(cc1)c2cc(sc2)c3ccc(cc3)CCC(=O)O
03K c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3
03L c1ccc(c(c1)C(=O)NCc2c(cccc2Cl)Sc3ccc(cc3Cl)Cl)C(=O)O
03M Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl
03N [H]/N=C(\N)/N1CCC(CC1)CN
03O CN1[C@H](CNC2=C1C(=O)NC(=N2)N)CNc3ccc(cc3)C(=O)O
03P CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O
03Q c1cc(cc(c1)Oc2c(cc(cn2)Nc3c4c(ccn4CCOCCO)ncn3)Cl)C(F)(F)F
03R [H]/N=C(/c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccccc3C(=O)O)F)N[C@@H](C)CCc4ccccc4)F)\N
03S CS(=O)(=O)O
03T c1ccc2c(c1)cc(s2)S(=O)(=O)N
03U CC/C(=C(\C#N)/C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(cc2)F)/O
03V c1ccc2cc(ccc2c1)O
03W C([C@H](C(O)O)O)O
03X CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC
03Y C[C@](CS)(C(=O)O)N
03Z c1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N
040 Cc1ccccc1C(=O)CC(=O)C(=O)O
041 C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O
042 CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]1[C@H](O1)C(=O)OCC
043 c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O
044 CC1=C(C(=O)N(N1C[C@@H](C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC
045 C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)CO)O)O)O)O
046 CC(=O)Nc1cc(ncn1)Oc2ccc3c(c2)CCN3C(=O)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C
047 Cc1ccc(cc1)n2cc(c3c2cccc3)CNCC4CCCCC4
048 c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCCCC4=O
049 CC(=O)N[C@@H](Cc1ccccc1)[C@H]([C@]2(CO2)C)O
04A c1ccc(cc1)CC(=O)Nc2nnc(s2)CCSCCc3nnc(s3)NC(=O)Cc4ccccc4
04B C[C@H](CO)[C@@H]([C@H](Cc1ccccc1)N)O
04C C[C@H](CO)[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc(cc2)OC)NC(=O)[C@H](C)NC(=O)CN3CCOCC3)O
04D C[C@H](CO)[C@H]([C@H](CC(C)C)N)O
04E C(C(=O)O)I
04F C1CNC(=O)[C@@H]1C[C@@H]([C@@H](O)S(=O)(=O)O)N
04G c1cc2c(cc1O)OC3=CC(=O)C=CC3=N2
04H [H]/N=C(\N)/N1CCC[C@H](C1)CN
04J c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N
04K CCN(CC)CCOc1ccc(cc1)Nc2ncc3c(n2)N(C(=O)C(=C3)Oc4ccc(cc4)F)C
04L Cc1ccc(cc1C(=O)Nc2cc3c([nH]c(n3)c4ccccc4)nc2)NC(=O)/C=C/c5ccccc5
04M CCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)S(=O)(=O)N3CCOCC3
04N c1ccc(cc1)[C@@H]2OC[C@@H]3[C@@H](O2)[C@@H]([C@H]([C@H](O3)O)N)O
04O c1ccc(cc1)CC[C@@H]2OC[C@@H]3[C@@H](O2)[C@@H]([C@H]([C@H](O3)O)N)O
04P [H]/N=C(\N)/N1CCC[C@H](C1)CO
04Q c1ccc(cc1)CNCC(=O)O
04R C1CCc2c(c(nn2CC(=O)O)C(F)(F)F)C1
04S C1CNC[C@@H]1N
04T CC(=O)Nc1ccc(cc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)C
04U C1[C@@H](CN[C@@H]1C(=O)O)N=[N+]=N
04V [H]/N=C(/[C@@H]1CCCN1)\O
04W CCCCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)[N+](=O)[O-]
04X C1COCCN1CC2=CC[C@H](NC2)C(=O)O
04Y c1ccc(cc1)c2ccncc2N3CCC(CC3)C(=O)NC4CC4
04Z COc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N
051 c1cc(c(cc1C#N)F)COc2ccc3cc(ccc3c2)S(=O)(=O)N[C@H]4CC[C@H](C[C@H]4C(=O)O)C(=O)O
052 Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c3nc(cc4NCCN5CCOCC5)Oc6ccccc6
053 c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)C4=CC=CNC4=O
054 c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)N4C(=O)c5cscc5NC4=O
055 Cc1cccc(c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](c4ccccc4)C(=O)O)Cl
056 c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl
057 CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3
058 c1ccc(cc1)Cn2c3ccc(cc3c(c2C(=O)O)c4ccccc4F)Cl
059 CC(C)[C@H](NS(=O)(=O)CCc1ccccc1)[P@](=O)(C[C@@H](c2cccc(c2)CN)C(=O)O)O
05A CC1=CN(C(=O)NC1=O)[C@H]2[C@H]3[C@@H]([C@@](O2)(CO3)COP(O)O)CC(=O)NC[C@]45CO[C@H]([C@@H]4O)[C@@H](O5)N6C=C(C(=O)NC6=O)C
05B c1cc2c(cc1c3nccc(n3)c4cc5c([nH]4)C6(CCNCC6)CNC5=O)OCO2
05C Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5CCNC[C@H]5C)OC[C@@H]6CCCN6C)C3
05D Cc1cnn(c1)c2ccncc2N3CCC(CC3)C(=O)N(C)C
05E C(COP(=O)(O)O[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N
05F Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5[C@@H]6CC[C@H]5CNC6)OC[C@@H]7CCCN7C)C3
05G Cc1cc(c(cc1S(=O)(=O)O)OC)/N=N/c2c3ccc(cc3ccc2O)S(=O)(=O)O
05H CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CNC(=O)C[C@H]3[C@@H]4[C@@H](O[C@]3(CO4)COP(O)O)N5C=C(C(=O)NC5=O)C)O
05I Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5C[C@H]6CC[C@@H](C5)N6)OC[C@@H]7CCCN7C)C3
05J CC[C@]1(CCc2c1nc(cc2)N3c4c(cnc(n4)Nc5ccc(cc5)N6CCN(CC6)C)C(=O)N3CC=C)O
05K CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(O)O)CC(=O)NC[C@@H]3[C@H](C[C@@H](O3)N4C=C(C(=O)NC4=O)C)O
05L CCCCCCC[Se][C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
05M CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCP(c2ccccc2)(c3ccccc3)c4ccccc4
05N C[C@H]1[C@H](CN[C@@H]1C(=O)O)O
05O c1cc(ccc1C[C@@H](C(=O)O)N)OC(F)(F)F
05Q c1ccc(cc1)COc2c3c(nc[nH]3)nc(n2)Cl
05R c1cc(c(cc1CC(=O)O)Cl)Cl
05S Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](CNCCC2)C)C(=O)N
05T [H]/N=C(\N)/NC1CCC(CC1)CN
05U CC(C)C[C@@H]([C@H](C(C)C)O)N
05W C[C@H](CO)[C@@H]([C@H](CC(C)C)N)O
05X CN1CCC(CC1)C(=O)c2cccc(n2)NC(=O)c3c(cc(cc3F)F)F
05Y CCC(=O)Nc1nc2ccccc2n1CCc3ccccn3
05Z c1ccc(cc1)CSc2c3c(nc[nH]3)nc(n2)Cl
060 CSC[C@H](C(=O)O)N
061 CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O
062 c1ccc2c(c1)-c3c[n+](ccc3[C@]2(C(=O)N4CCC[C@H]4C(=O)NCc5cc(ccc5CN)Cl)O)[O-]
063 C[C@]1(c2cc(c(cc2CCN1)OCCOCCNC(=O)[C@H](CCCNC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)Oc3ccc(c(c3)F)c4ccc(cc4)C(=O)O)CC(=O)Nc5nccs5
064 CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)\C=C\c4cccc(c4)C(=O)O
065 CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5
066 Cc1cc(cc2c1ncc(c2Nc3cccc(c3)OC)C(=O)N)S(=O)(=O)c4cccc(c4)C(=O)N(C)C
067 c1cc(ccc1n2cc(nn2)C34C5=C6[Ru]5378912(C6=C74)C3C8=C9C1=C23)S(=O)(=O)N
068 CC(=O)c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O
069 c1cc(cc(c1)O)C(=O)NO
