,macss_per_screen,maccs_per_actives,morgan_per_screen,morgan_per_actives
833,0.1843093922651933,0.2594911937377691,0.1843093922651933,0.2583170254403131
834,0.1845303867403314,0.2598825831702544,0.1845303867403314,0.2587084148727984
835,0.1847513812154696,0.2602739726027397,0.1847513812154696,0.2590998043052837
836,0.1849723756906077,0.2602739726027397,0.1849723756906077,0.2590998043052837
837,0.1851933701657458,0.2602739726027397,0.1851933701657458,0.2594911937377691
838,0.1854143646408839,0.260665362035225,0.1854143646408839,0.2598825831702544
839,0.1856353591160221,0.2610567514677103,0.1856353591160221,0.2602739726027397
840,0.1858563535911602,0.2614481409001957,0.1858563535911602,0.2602739726027397
841,0.1860773480662983,0.2614481409001957,0.1860773480662983,0.260665362035225
842,0.1862983425414364,0.261839530332681,0.1862983425414364,0.2610567514677103
843,0.1865193370165745,0.2622309197651663,0.1865193370165745,0.2610567514677103
844,0.1867403314917127,0.2626223091976516,0.1867403314917127,0.2610567514677103
845,0.1869613259668508,0.2630136986301369,0.1869613259668508,0.2614481409001957
846,0.1871823204419889,0.2634050880626223,0.1871823204419889,0.261839530332681
847,0.187403314917127,0.2637964774951076,0.187403314917127,0.2622309197651663
848,0.1876243093922651,0.2641878669275929,0.1876243093922651,0.2626223091976516
849,0.1878453038674033,0.2645792563600783,0.1878453038674033,0.2630136986301369
850,0.1880662983425414,0.2649706457925636,0.1880662983425414,0.2634050880626223
851,0.1882872928176795,0.2653620352250489,0.1882872928176795,0.2637964774951076
852,0.1885082872928176,0.2653620352250489,0.1885082872928176,0.2641878669275929
853,0.1887292817679558,0.2657534246575342,0.1887292817679558,0.2645792563600783
854,0.1889502762430939,0.2661448140900195,0.1889502762430939,0.2649706457925636
855,0.189171270718232,0.2665362035225049,0.189171270718232,0.2653620352250489
856,0.1893922651933701,0.2665362035225049,0.1893922651933701,0.2657534246575342
857,0.1896132596685082,0.2669275929549902,0.1896132596685082,0.2657534246575342
858,0.1898342541436464,0.2673189823874755,0.1898342541436464,0.2661448140900195
859,0.1900552486187845,0.2677103718199609,0.1900552486187845,0.2665362035225049
860,0.1902762430939226,0.2677103718199609,0.1902762430939226,0.2669275929549902
861,0.1904972375690607,0.2677103718199609,0.1904972375690607,0.2673189823874755
862,0.1907182320441988,0.2681017612524461,0.1907182320441988,0.2673189823874755
863,0.190939226519337,0.2684931506849315,0.190939226519337,0.2677103718199609
864,0.1911602209944751,0.2688845401174168,0.1911602209944751,0.2681017612524461
865,0.1913812154696132,0.2692759295499021,0.1913812154696132,0.2684931506849315
866,0.1916022099447513,0.2696673189823875,0.1916022099447513,0.2688845401174168
867,0.1918232044198895,0.2700587084148728,0.1918232044198895,0.2688845401174168
868,0.1920441988950276,0.2704500978473581,0.1920441988950276,0.2692759295499021
869,0.1922651933701657,0.2708414872798434,0.1922651933701657,0.2696673189823875
870,0.1924861878453038,0.2712328767123287,0.1924861878453038,0.2700587084148728
871,0.1927071823204419,0.2712328767123287,0.1927071823204419,0.2704500978473581
